DATE,16-19m,20-24m,25-34m,35-44m,45-54m,55-64m,65plusm
01/04/1985,765,943,1313,727,499,325,50
01/05/1985,785,971,1209,677,395,297,41
01/06/1985,781,968,1246,780,456,317,51
01/07/1985,906,949,1222,712,470,308,58
01/08/1985,796,917,1250,678,481,270,39
01/09/1985,772,905,1284,687,456,275,47
01/10/1985,893,934,1233,665,476,277,64
01/11/1985,792,926,1214,705,437,277,67
01/12/1985,796,879,1204,731,432,296,50
01/01/1986,719,865,1161,723,437,336,54
01/02/1986,793,884,1272,818,424,359,68
01/03/1986,774,925,1266,754,451,354,71
01/04/1986,823,944,1293,717,449,312,48
01/05/1986,810,941,1332,754,468,260,51
01/06/1986,838,880,1303,784,471,271,67
01/07/1986,797,907,1386,753,460,265,52
01/08/1986,788,849,1233,777,432,275,52
01/09/1986,794,973,1320,762,431,282,57
01/10/1986,742,855,1355,797,415,303,70
01/11/1986,750,864,1337,793,434,288,63
01/12/1986,717,902,1289,742,412,306,43
01/01/1987,761,853,1353,755,411,308,42
01/02/1987,779,879,1245,721,466,276,59
01/03/1987,775,816,1210,727,462,303,65
01/04/1987,771,821,1184,684,453,292,48
01/05/1987,788,793,1183,694,432,289,38
01/06/1987,688,823,1181,660,454,250,34
01/07/1987,634,797,1127,721,433,225,45
01/08/1987,756,742,1120,667,415,217,56
01/09/1987,703,714,1053,666,423,218,43
01/10/1987,712,688,1107,701,412,229,45
01/11/1987,694,702,1089,625,384,258,58
01/12/1987,722,661,1112,627,360,228,52
01/01/1988,696,745,1065,612,367,321,60
01/02/1988,652,700,1029,639,392,289,51
01/03/1988,715,703,1084,635,350,293,52
01/04/1988,661,680,1006,621,326,252,35
01/05/1988,639,704,1043,670,335,257,46
01/06/1988,661,624,1051,565,351,204,58
01/07/1988,697,652,992,603,355,189,54
01/08/1988,679,676,1090,645,357,226,37
01/09/1988,693,624,1035,587,384,193,30
01/10/1988,685,682,1015,599,364,199,52
01/11/1988,594,654,1112,596,388,222,59
01/12/1988,636,647,968,625,417,233,56
01/01/1989,774,706,937,631,394,278,30
01/02/1989,693,625,950,619,353,272,74
01/03/1989,588,558,942,611,334,246,40
01/04/1989,650,611,1028,637,357,224,59
01/05/1989,657,596,962,586,296,225,35
01/06/1989,661,670,940,537,302,204,48
01/07/1989,560,659,930,600,339,197,41
01/08/1989,629,718,849,616,346,207,47
01/09/1989,638,717,1005,646,330,227,44
01/10/1989,675,682,968,617,385,202,55
01/11/1989,701,693,972,669,375,240,73
01/12/1989,669,696,947,621,373,280,51
01/01/1990,665,667,1025,639,393,295,60
01/02/1990,656,667,1020,622,358,284,73
01/03/1990,611,673,1011,626,372,277,56
01/04/1990,648,727,1019,644,416,243,61
01/05/1990,640,693,1026,654,392,210,66
01/06/1990,583,710,1003,677,389,213,33
01/07/1990,650,678,1117,710,381,218,49
01/08/1990,695,717,1172,728,392,207,78
01/09/1990,684,742,1156,773,383,242,50
01/10/1990,718,764,1160,783,448,256,62
01/11/1990,721,778,1188,871,534,280,63
01/12/1990,737,791,1273,858,516,264,54
01/01/1991,734,816,1235,848,504,321,52
01/02/1991,712,896,1330,938,560,352,76
01/03/1991,774,888,1422,978,528,362,70
01/04/1991,704,892,1380,1004,516,315,67
01/05/1991,793,852,1379,1018,542,314,65
01/06/1991,755,925,1374,1012,532,307,51
01/07/1991,765,948,1340,1007,557,288,63
01/08/1991,726,942,1345,1025,567,292,67
01/09/1991,752,970,1397,1012,577,250,67
01/10/1991,750,953,1409,1027,574,260,53
01/11/1991,765,899,1462,1041,575,276,76
01/12/1991,779,977,1466,1024,585,317,61
01/01/1992,777,957,1499,1097,635,392,85
01/02/1992,824,968,1487,1162,661,418,69
01/03/1992,821,957,1502,1080,662,427,62
01/04/1992,700,947,1551,1046,675,382,78
01/05/1992,790,1005,1606,1098,716,375,74
01/06/1992,923,948,1602,1115,727,406,82
01/07/1992,814,956,1494,1129,693,384,59
01/08/1992,821,919,1574,1142,697,367,62
01/09/1992,863,917,1573,1148,664,338,62
01/10/1992,728,921,1564,1158,654,350,67
01/11/1992,815,956,1505,1126,654,346,55
01/12/1992,801,929,1410,1116,660,356,46
01/01/1993,785,906,1390,1056,658,374,59
01/02/1993,784,914,1389,1074,658,401,50
01/03/1993,791,877,1407,1085,688,382,75
01/04/1993,797,892,1343,1067,682,344,45
01/05/1993,773,961,1340,1060,631,350,48
01/06/1993,815,882,1434,1082,635,295,59
01/07/1993,763,859,1351,1055,641,328,53
01/08/1993,765,849,1339,999,627,311,90
01/09/1993,728,828,1280,1023,637,335,75
01/10/1993,750,821,1272,1072,624,309,67
01/11/1993,753,785,1241,998,533,299,58
01/12/1993,720,764,1212,999,576,304,82
01/01/1994,812,843,1272,946,548,358,90
01/02/1994,758,802,1269,941,593,366,92
01/03/1994,740,818,1175,955,489,343,86
01/04/1994,787,799,1173,853,519,306,73
01/05/1994,776,764,1123,791,465,284,84
01/06/1994,731,751,1058,840,550,243,84
01/07/1994,751,778,1093,840,554,261,110
01/08/1994,728,795,1068,851,541,261,103
01/09/1994,737,714,1002,842,505,241,72
01/10/1994,706,720,1053,807,510,248,99
01/11/1994,624,719,974,767,512,243,91
01/12/1994,731,665,991,765,463,220,70
01/01/1995,684,683,1045,844,429,271,112
01/02/1995,770,611,927,796,448,264,82
01/03/1995,668,658,887,757,508,268,82
01/04/1995,730,651,965,845,472,272,91
01/05/1995,744,657,1048,865,460,248,91
01/06/1995,746,674,951,824,452,219,91
01/07/1995,762,662,950,813,460,234,84
01/08/1995,783,764,921,844,464,204,105
01/09/1995,756,709,1002,742,458,211,124
01/10/1995,765,672,839,800,463,189,96
01/11/1995,748,660,989,855,471,216,98
01/12/1995,770,686,1002,803,481,196,66
01/01/1996,747,688,1011,765,478,255,96
01/02/1996,715,737,960,772,504,250,85
01/03/1996,743,714,984,803,482,281,64
01/04/1996,744,703,958,859,511,194,76
01/05/1996,737,740,952,788,518,218,80
01/06/1996,698,692,927,743,461,214,82
01/07/1996,811,686,911,769,434,263,74
01/08/1996,722,575,809,767,469,202,86
01/09/1996,695,629,829,828,492,217,59
01/10/1996,747,609,812,758,493,174,79
01/11/1996,736,640,828,824,494,213,59
01/12/1996,704,640,776,757,472,201,66
01/01/1997,731,727,784,831,502,237,97
01/02/1997,717,616,811,823,460,247,82
01/03/1997,732,644,817,778,454,277,76
01/04/1997,719,638,823,803,441,234,40
01/05/1997,656,562,793,648,470,192,71
01/06/1997,767,591,789,734,476,213,60
01/07/1997,722,580,733,712,464,216,53
01/08/1997,726,610,784,676,440,193,82
01/09/1997,686,653,745,693,448,185,71
01/10/1997,674,668,673,692,490,190,59
01/11/1997,648,675,732,614,398,201,61
01/12/1997,552,656,741,698,436,219,76
01/01/1998,662,628,691,660,424,255,72
01/02/1998,685,625,705,577,427,225,72
01/03/1998,697,590,741,628,458,244,78
01/04/1998,584,547,652,567,445,184,67
01/05/1998,697,585,650,597,431,164,59
01/06/1998,679,584,682,631,447,173,49
01/07/1998,698,600,760,611,441,193,83
01/08/1998,669,619,695,628,398,169,61
01/09/1998,754,645,721,603,392,208,67
01/10/1998,726,528,727,616,380,174,73
01/11/1998,701,484,692,571,377,215,71
01/12/1998,675,533,673,608,399,210,71
01/01/1999,715,533,654,573,395,263,58
01/02/1999,611,548,664,612,455,259,69
01/03/1999,659,508,605,521,386,236,63
01/04/1999,634,565,638,562,386,203,54
01/05/1999,621,580,623,653,381,170,73
01/06/1999,615,607,628,612,367,171,70
01/07/1999,613,601,618,601,377,214,86
01/08/1999,572,562,664,588,399,187,79
01/09/1999,634,540,614,580,407,187,97
01/10/1999,628,590,646,520,411,182,73
01/11/1999,644,539,592,504,415,190,54
01/12/1999,657,581,528,529,449,177,63
01/01/2000,625,552,592,544,414,222,76
01/02/2000,641,549,636,605,390,221,106
01/03/2000,557,548,621,561,344,236,91
01/04/2000,596,541,571,538,352,179,82
01/05/2000,578,605,637,522,363,156,76
01/06/2000,610,510,573,597,400,138,61
01/07/2000,599,537,623,517,407,163,85
01/08/2000,656,515,565,540,457,192,66
01/09/2000,573,528,610,535,428,156,109
01/10/2000,550,555,604,549,417,187,78
01/11/2000,568,555,586,573,402,226,65
01/12/2000,611,559,606,583,415,195,95
01/01/2001,671,590,668,578,441,291,74
01/02/2001,641,633,633,601,460,289,63
01/03/2001,590,672,670,628,473,273,85
01/04/2001,615,651,712,668,503,245,49
01/05/2001,598,679,707,686,468,222,44
01/06/2001,630,710,742,665,496,211,57
01/07/2001,618,639,712,738,528,237,80
01/08/2001,666,721,807,729,574,260,64
01/09/2001,651,665,820,774,529,276,65
01/10/2001,708,739,827,853,674,281,94
01/11/2001,725,783,889,868,686,317,115
01/12/2001,712,800,951,852,658,359,103
01/01/2002,681,800,992,901,688,401,95
01/02/2002,676,812,969,838,695,444,90
01/03/2002,722,873,1022,855,694,390,70
01/04/2002,690,808,1052,892,724,379,85
01/05/2002,716,746,1009,881,760,351,95
01/06/2002,714,727,1094,825,777,348,85
01/07/2002,720,759,1020,920,722,338,90
01/08/2002,753,784,989,869,734,351,80
01/09/2002,717,784,986,884,710,342,97
01/10/2002,618,802,1003,973,686,325,98
01/11/2002,704,783,1081,995,725,374,69
01/12/2002,680,804,1066,935,788,426,95
01/01/2003,710,781,1097,951,744,475,123
01/02/2003,721,772,999,984,797,441,143
01/03/2003,714,723,1005,950,806,448,137
01/04/2003,704,866,1056,1025,792,439,94
01/05/2003,716,907,1073,1051,792,407,98
01/06/2003,731,899,1161,1090,744,449,117
01/07/2003,741,938,1144,1041,743,412,98
01/08/2003,614,822,1212,1020,762,376,107
01/09/2003,717,883,1176,966,752,361,98
01/10/2003,681,826,1156,968,768,354,78
01/11/2003,669,879,1094,951,781,378,109
01/12/2003,628,813,1051,884,677,399,87
01/01/2004,650,843,1029,866,704,405,101
01/02/2004,600,801,1051,878,656,421,97
01/03/2004,644,840,1031,895,680,409,128
01/04/2004,678,818,973,827,689,367,103
01/05/2004,669,828,1067,821,683,393,81
01/06/2004,639,833,852,899,695,382,107
01/07/2004,648,803,958,842,671,343,99
01/08/2004,658,786,949,843,692,344,118
01/09/2004,655,822,921,840,667,343,98
01/10/2004,729,816,912,783,683,355,108
01/11/2004,684,798,938,795,697,348,120
01/12/2004,750,727,1032,758,688,365,85
01/01/2005,653,827,868,752,667,435,121
01/02/2005,719,904,887,803,627,396,141
01/03/2005,733,789,904,734,613,398,116
01/04/2005,750,758,885,685,553,357,99
01/05/2005,711,727,841,756,607,290,77
01/06/2005,669,746,813,697,614,278,103
01/07/2005,659,712,814,661,646,294,102
01/08/2005,643,792,810,704,605,302,78
01/09/2005,601,793,902,661,656,297,101
01/10/2005,586,741,782,668,647,273,106
01/11/2005,696,744,804,713,636,291,105
01/12/2005,566,737,792,710,624,366,76
01/01/2006,584,720,767,624,594,370,119
01/02/2006,619,747,922,609,613,336,90
01/03/2006,637,684,796,697,612,309,93
01/04/2006,610,702,839,674,571,329,101
01/05/2006,601,727,825,637,636,332,57
01/06/2006,661,630,815,635,550,309,86
01/07/2006,648,705,864,628,585,321,84
01/08/2006,633,747,761,689,620,283,85
01/09/2006,649,683,715,640,523,266,63
01/10/2006,607,718,831,527,481,286,82
01/11/2006,596,724,808,654,484,295,95
01/12/2006,592,667,766,676,533,377,95
01/01/2007,584,704,921,669,549,427,127
01/02/2007,604,678,929,659,598,382,104
01/03/2007,586,664,783,635,582,400,116
01/04/2007,609,682,779,622,607,335,117
01/05/2007,619,679,787,579,588,365,82
01/06/2007,675,730,834,563,575,309,93
01/07/2007,594,734,787,679,604,331,135
01/08/2007,599,720,853,599,578,346,96
01/09/2007,645,804,861,606,572,336,90
01/10/2007,618,745,897,629,603,293,105
01/11/2007,657,734,892,630,596,308,115
01/12/2007,675,790,936,703,636,353,120
01/01/2008,748,778,947,697,641,408,145
01/02/2008,635,811,918,655,648,399,124
01/03/2008,607,823,979,709,667,379,169
01/04/2008,594,775,921,771,742,314,116
01/05/2008,775,882,972,773,705,342,135
01/06/2008,757,894,994,870,732,330,132
01/07/2008,850,936,1143,933,739,397,148
01/08/2008,694,955,1187,920,812,442,150
01/09/2008,733,995,1224,1035,910,441,180
01/10/2008,828,1052,1295,1043,900,515,123
01/11/2008,801,1038,1404,1028,1048,537,203
01/12/2008,773,1150,1560,1156,1166,604,217
01/01/2009,800,1134,1681,1290,1317,751,226
01/02/2009,859,1195,1840,1369,1380,770,266
01/03/2009,847,1314,1883,1475,1400,866,241
01/04/2009,853,1362,2051,1569,1431,817,226
01/05/2009,920,1384,2115,1695,1494,803,228
01/06/2009,879,1351,2041,1652,1623,866,233
01/07/2009,910,1322,2035,1641,1643,869,240
01/08/2009,930,1311,2104,1742,1673,819,251
01/09/2009,949,1338,2124,1730,1723,788,237
01/10/2009,938,1459,2073,1847,1683,839,231
01/11/2009,942,1415,2042,1705,1759,920,215
01/12/2009,941,1405,1960,1630,1677,967,293
01/01/2010,938,1503,2015,1651,1647,1059,303
01/02/2010,875,1435,2030,1727,1596,1065,284
01/03/2010,938,1436,2102,1619,1659,1043,268
01/04/2010,899,1595,2027,1581,1634,949,237
01/05/2010,852,1269,2088,1544,1570,927,222
01/06/2010,843,1384,2083,1474,1618,879,206
01/07/2010,859,1407,1939,1474,1562,922,274
01/08/2010,838,1332,1893,1452,1662,989,295
01/09/2010,821,1333,1943,1521,1568,914,246
01/10/2010,858,1315,1841,1461,1541,941,254
01/11/2010,806,1461,1994,1413,1704,955,263
01/12/2010,823,1320,1886,1411,1557,903,293
01/01/2011,843,1307,1802,1358,1441,1036,274
01/02/2011,766,1320,1779,1333,1382,1022,242
01/03/2011,781,1321,1749,1308,1450,942,273
01/04/2011,802,1313,1852,1299,1436,861,255
01/05/2011,755,1274,1831,1305,1438,811,268
01/06/2011,771,1207,1863,1421,1414,896,279
01/07/2011,762,1222,1866,1296,1414,939,250
01/08/2011,805,1289,1775,1418,1341,832,253
01/09/2011,792,1265,1771,1340,1365,779,267
01/10/2011,785,1212,1830,1317,1321,866,245
01/11/2011,782,1321,1689,1243,1220,820,262
01/12/2011,805,1255,1717,1172,1179,778,259
01/01/2012,741,1173,1603,1125,1152,873,258
01/02/2012,776,1274,1543,1125,1166,819,254
01/03/2012,764,1123,1601,1161,1136,919,262
01/04/2012,833,1166,1476,1147,1132,812,239
01/05/2012,799,1144,1434,1137,1187,861,279
01/06/2012,768,1215,1426,1246,1185,752,314
01/07/2012,788,1201,1406,1149,1213,809,305
01/08/2012,831,1196,1462,1118,1169,756,250
01/09/2012,792,1094,1427,1084,1118,750,278
01/10/2012,804,1128,1466,1059,1116,746,240
01/11/2012,792,1086,1394,1072,1092,814,261
01/12/2012,768,1120,1406,1070,1038,826,275
01/01/2013,791,1287,1410,1084,1086,901,322
01/02/2013,800,1073,1407,1034,1025,881,271
01/03/2013,714,1173,1344,1005,1009,784,301
01/04/2013,776,1174,1403,1029,1106,714,259
01/05/2013,810,1201,1305,1042,1128,715,255
01/06/2013,790,1219,1371,1019,1090,670,228
01/07/2013,791,1122,1401,1014,1024,761,224
01/08/2013,726,1191,1520,981,996,668,229
01/09/2013,736,1206,1440,1005,1042,690,223
01/10/2013,724,1110,1321,1001,1072,712,221
01/11/2013,655,1001,1354,1047,1011,684,225
01/12/2013,603,925,1294,921,883,707,239
01/01/2014,626,1041,1275,870,928,694,222
01/02/2014,654,1094,1286,893,938,718,185
01/03/2014,669,1093,1199,873,878,706,207
01/04/2014,606,999,1218,839,796,582,238
01/05/2014,575,992,1234,867,777,547,236
01/06/2014,614,966,1227,783,735,616,214
01/07/2014,636,1020,1198,839,672,571,206
01/08/2014,597,971,1217,861,733,539,208
01/09/2014,628,1054,1086,696,717,510,165
01/10/2014,576,824,1088,725,673,552,177
01/11/2014,504,947,1104,749,754,592,253
01/12/2014,560,917,1048,737,716,568,210
01/01/2015,594,914,1097,770,709,625,218
01/02/2015,512,879,1050,743,710,675,229
01/03/2015,572,900,1078,713,659,626,185
01/04/2015,536,858,1010,717,724,554,209
01/05/2015,615,928,1056,750,664,512,174
01/06/2015,560,871,1003,720,603,498,154
01/07/2015,502,846,1022,672,628,521,138
01/08/2015,499,813,948,612,639,500,184
01/09/2015,487,827,984,643,584,488,212
01/10/2015,471,826,1015,666,642,439,159
01/11/2015,504,910,1051,655,587,498,182
01/12/2015,515,803,1038,665,613,495,162
01/01/2016,512,678,931,603,591,586,200
01/02/2016,495,738,937,622,579,649,199
01/03/2016,512,721,940,608,628,632,188
01/04/2016,488,772,1013,649,629,531,178
01/05/2016,473,701,976,600,575,504,150
01/06/2016,516,725,982,636,600,481,192
01/07/2016,475,801,972,623,649,518,213
01/08/2016,543,752,961,671,609,469,188
01/09/2016,509,734,1009,725,611,492,211
01/10/2016,537,791,988,667,591,491,214
01/11/2016,558,740,972,635,598,492,174
01/12/2016,520,745,910,681,561,496,214
01/01/2017,476,728,944,669,544,524,177
01/02/2017,477,745,941,667,507,485,238
01/03/2017,449,648,908,648,528,515,202
01/04/2017,508,681,831,606,511,438,172
01/05/2017,445,613,895,537,547,358,160
01/06/2017,396,637,866,564,593,372,168
01/07/2017,398,634,875,623,579,402,150
01/08/2017,422,625,954,580,619,423,175
01/09/2017,453,700,852,520,540,429,149
01/10/2017,477,663,858,513,500,420,189
01/11/2017,538,697,833,506,483,479,171
01/12/2017,441,633,848,466,489,498,192
01/01/2018,436,636,755,529,551,526,201
01/02/2018,492,589,769,481,473,605,180
01/03/2018,449,563,785,530,488,517,162
01/04/2018,466,619,904,491,479,465,161
01/05/2018,454,593,746,486,499,363,181
01/06/2018,389,628,744,533,542,385,206
01/07/2018,414,558,687,466,498,355,224
01/08/2018,403,577,825,488,429,386,182
01/09/2018,373,591,726,554,470,354,181
01/10/2018,376,593,772,569,476,362,139
01/11/2018,380,591,690,537,455,420,163
01/12/2018,425,617,750,510,521,483,148
01/01/2019,425,658,767,506,487,535,220
01/02/2019,442,573,738,457,500,468,187
01/03/2019,401,667,720,500,497,416,194
01/04/2019,451,608,724,498,486,343,172
01/05/2019,382,649,669,468,462,327,134
01/06/2019,357,558,712,439,503,341,168
01/07/2019,381,569,737,483,494,324,163
01/08/2019,396,612,763,479,506,290,169
01/09/2019,409,573,778,450,481,284,143
01/10/2019,414,609,770,463,440,331,141
01/11/2019,417,585,774,491,379,353,188
01/12/2019,416,567,739,463,417,315,157
01/01/2020,417,512,778,462,403,431,196
01/02/2020,352,491,757,496,406,461,210
01/03/2020,425,667,842,595,520,517,263
01/04/2020,759,1592,2709,1868,1894,1582,815
01/05/2020,796,1567,2491,1690,1550,1377,604
01/06/2020,604,1340,2266,1593,1297,1201,553
01/07/2020,590,1267,2240,1418,1132,1115,472
01/08/2020,500,1059,1898,1161,969,995,446
01/09/2020,501,966,1694,1115,1012,876,341
01/10/2020,466,903,1517,1045,1012,740,254
01/11/2020,444,904,1491,1028,914,826,336
01/12/2020,455,922,1291,1049,827,867,323
01/01/2021,466,754,1356,1066,788,848,313
01/02/2021,493,761,1287,1032,759,894,316
01/03/2021,452,823,1299,939,749,683,292
01/04/2021,409,883,1313,843,875,767,262
01/05/2021,306,826,1207,968,838,596,281
01/06/2021,275,769,1372,937,786,643,313
01/07/2021,311,778,1231,867,680,577,293
01/08/2021,359,727,1159,837,703,529,250
01/09/2021,377,706,1120,767,614,486,185
